id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q100364484,Loub Yacout Zaïdou,female,1961,9,,,,Loub Yacout Zaïdou
Q1024670,Caabi El-Yachroutu Mohamed,male,1950-03-23,11,,,,Caabi El-Yachroutu Mohamed
Q104835826,Hadjira Oumouri,female,1969-03-08,11,,,,Hadjira Oumouri
Q105816348,Dhoihirou Halidi,,,,,,,
Q105816388,Kaambi Houmadi,,,,,,,
Q106088062,Chamina Ben Mohamed,female,1990,9,,,,Chamina Ben Mohamed
Q106088088,Hayda Nourdine Sidi,female,1977-01,10,,,,Hayda Nourdine Sidi
Q106088222,Ladaenti Houmadi,female,1983-06-23,11,,,,Ladaenti Houmadi
Q106092242,Rashid Mohamed Mbaraka Fatma,female,,7,,,,
Q108344792,Halidi Charif,male,,,,,,
Q108344794,Aboudou Soefou,male,,,,,,
Q108344795,Mohamed Bakri Ben Abdoulfatah Charif,male,,,,,,
Q108344797,El-Anrif Said Hassane,male,,,,,,
Q108344798,Abdoulkarim Mohamed,male,,,,,,
Q108344800,Mohamed Bacar Dossar,male,,,,,,
Q109399082,Mohamed Ali Said,male,,,,,,
Q113555299,Dhoihir Dhoulkamal,male,,,,,,
Q12811186,Nourdine Bourhane,male,1958-10-28,11,,,,Nourdine Bourhane
Q28370112,Moustadroine Abdou,male,1969-06-14,11,,,,Moustadroine Abdou
Q3111209,Hamada Madi,male,1965,9,,,Hamada Madi 2018.jpg,Hamada Madi
Q311129,Ahmed Abdallah Mohamed Sambi,male,1958-06-05,11,,,Sambialone17 07 08.jpg,Ahmed Abdallah Mohamed Sambi
Q3318302,Mohamed Abdoulwahab,male,1959-12-31,11,,,,Mohamed Abdoulwahab
Q3318507,Mohamed El-Amine Souef,male,1962-07-28,11,,,Souef El-Amine (cropped).jpg,Mohamed El-Amine Souef
Q3326242,Moussa Toybou,male,1962-11-28,11,,,,Moussa Toybou
Q515602,Azali Assoumani,male,1959-01-01,11,,,President Azali Assoumani.jpg,Azali Assoumani
Q57458,Ikililou Dhoinine,male,1962-08-14,11,,,Ikililou Dhoinine 2012.jpg,Ikililou Dhoinine
Q855447,Bianrifi Tarmidi,male,1958-03-15,11,,,,Bianrifi Tarmidi
Q89480130,Sounhadj Attoumane,,1962,9,,,Sounhadj Attoumane.jpg,
Q919913,Mohamed Bacar,male,1962-05-05,11,,,,Mohamed Bacar
