wanted,position,positionid,from,start,end
Q114568453,Secretary-General of the Government,Q114568447,Q114568452,2022-05-09,
Q855447,Minister of Agriculture,Q114566837,Q114568420,2021-08-26,
Q3318507,Minister of Foreign Affairs,Q19901416,Q113555299,2020,
Q515602,President,Q28015452,Q28370112,2019-02-13,2019-04-03
Q919913,President of Anjouan,Q7241258,Q105816388,2007-04-28,2007-05-11
Q5679938,Minister of Finance,Q113953759,Q24930192,2007-03-22,2009-06-24
Q515602,President,Q28015452,Q311129,2006-05-26,2011-05-26
Q515602,President,Q28015452,Q3111209,2002-01-21,2002-05-26
Q855447,Prime Minister,Q52995381,Q3111209,2000-11-29,2002-04-15
