item,itemLabel,position,positionLabel,startDate,endDate,source,sourceDate,psid
Q100364484,Loub Yacout Zaidou,Q112038569,"Minister of Health, Solidarity, Social Protection and the Promotion of Gender",2019-06-22,,143,,Q100364484-90513233-4261-def2-2e5b-86e9dbfabd3b
Q113555299,Dhoihir Dhoulkamal,Q19901416,"Minister of Foreign Affairs and International Co-operation, with responsibility for the Diaspora and the Francophonie",2020,,143,,Q113555299-10d1b235-496f-a9b3-3e8a-dc56593173f5
Q114566891,Mze Abdou Mohamed Chanfiou,Q113953759,"Minister of Finance, the Budget and the Banking Sector",2022-05-09,,143,,Q114566891-40AE600F-9335-4873-B9C5-312AB11D8716
Q114566892,Afretane Yssoufa,Q114566841,"Minister of Territorial Management and Urban Planning, with responsibility for Land Affairs and Land Transport",2021-08-28,,143,,Q114566892-F557C458-6C30-429E-9B94-478CB6E10AE7
Q114566893,Ahmed Ali Bazi,Q114566838,"Minister of the Economy, Industry and Investment, with responsibility for Economic Integration",2022-05-09,,143,,Q114566893-6CBCA9ED-D520-402A-B8C6-B536487F52E7
Q114566894,Ali Ibouroi,Q114566869,"Minister of Energy, Water and Hydrocarbons",2021-08-28,,143,,Q114566894-332D5B76-11E4-40AA-8EC1-5082990F1A40
Q114566895,Djaffar Salim,Q114566847,"Minister of Youth, Labour, Employment, Sports, Arts and Culture",2022-05-09,,,,Q114566895-BB882492-ED98-4CD7-A15C-C381EDA47717
Q114566896,Kamalidini Souef,Q114566846,"Minister of Postal Services, Telecommunications and the Digital Economy",2022-05-09,,143,,Q114566896-2C67F0FD-A86E-48F3-91BE-0FE50FF354A1
Q114566897,Kassim Loutfi,Q114566850,Secretary of State in charge of Cooperation,2021-08-28,,,,Q114566897-948A19D7-18B0-44BA-AB0F-49C44B62BB69
Q114566898,Mahamoud Fakridine,Q114566839,"Minister of the Interior, Information, Decentralization and Territorial Administration",2021-08-28,,143,,Q114566898-8287BDF6-D04B-4875-B61B-184BCB717023
Q114566899,Moctar Ould Dada Hamdane,Q114566853,Secretary of State in charge of Tourism and Handicrafts,2021-08-28,,,,Q114566899-4AC1B5DB-69A6-408B-BC4A-BF52B279BCF6
Q114566901,Dr Takiddine Youssouf,Q114566868,"Minister of National Education, Teaching, Scientific Research and Professional Training and Integration",2022-05-09,,143,,Q114566901-C1CD70FF-FCE8-48DF-A24D-7F420615D426
Q114568395,Djae Ahamada Chanfi,Q113953751,"Minister of Justice, Islamic Affairs and the Civil Service, with responsibility for Human Rights, Transparency and Public Administration",2021-08-28,,143,,Q114568395-c3264b4e-40fc-d774-e740-412fa2a12cfc
Q114568420,Houmed M’Saidié,Q114566837,"Minister of Agriculture, Fishing and the Environment, and of Tourism and Handicrafts, Government Spokesperson",2021-08-26,,143,,Q114568420-9a0cf37d-4504-0077-d4a2-fd4431db3dc8
Q114568452,Dr Daniel Ali Bandar,Q114568447,Secretary-General of the Government,2022-05-09,,143,,Q114568452-D811258B-2FCF-4B25-864C-0BA3350AEC24
Q515602,Col Assoumani Azali,Q28015452,Federal President,2019-05-26,,143,,Q515602-6980efa8-4cb3-31e3-a272-af94287f1628
Q855447,Bianrifi Tharmidhi,Q114566844,Minister of Maritime and Air Transport,2022-05-09,,143,,Q855447-5B4F4E5E-44DD-467F-B4E8-EC9AF644CCEA
