item,itemLabel,startDate,endDate
Q1024670,Caabi El-Yachroutu Mohamed,2002-05-26,2006-05-26
,Rachidi ben Massonde,2002-05-26,2006-05-26
Q57458,Ikililou Dhoinine,2006-05-26,2011-05-26
,Idi Nadhoim,2006-05-26,2011-05-26
Q113953780,Fouad Mohadji,2011-05-26,2016-05-26
Q24930192,Mohamed Ali Soilihi,2011-05-26,2016-05-26
Q12811186,Nourdine Bourhane,2011-05-26,2016-05-26
Q28194816,Abdallah Said Sarouma,2016-05-26,2019-05-26
Q28222039,Djaffar Ahmed Said,2016-05-26,2019-05-26
Q28370112,Moustadroine Abdou,2016-05-26,2019-05-26
